,input_a,input_b,operand,output,MR1_input_a,MR1_input_b,MR1_output,constant,MR2_input_a,MR2_input_b,MR2_output,MR3_input_a,MR3_input_b,MR3_output,MR4_input_a,MR4_input_b,MR4_output,MR1_checker,MR2_checker,MR3_checker,MR4_checker,Component 1,Component 2,Component 3,Component 4,Component 5,KMeans,segment
74,8,9,1,-1.0,9.0,8.0,1.0,2.0,16.0,18.0,-2.0,10.0,11.0,-1.0,6.0,7.0,-1.0,0.0,0.0,1.0,1.0,-2.742311487625881,1.3207087325181934,0.6246075926886198,3.5879531025838145,0.22556196757012525,3,fourth
75,0,5,1,-5.0,5.0,0.0,5.0,5.0,0.0,25.0,-25.0,5.0,10.0,-5.0,-5.0,0.0,-5.0,0.0,0.0,1.0,1.0,-3.822931113091563,-2.0505586166546816,-2.5166569423299463,0.538977180756723,0.781409557384358,3,fourth
76,0,7,1,-7.0,7.0,0.0,7.0,8.0,0.0,56.0,-56.0,8.0,15.0,-7.0,-8.0,-1.0,-7.0,0.0,0.0,1.0,1.0,-3.593250011243317,-4.061599500332407,-2.7159560772384865,2.395597163348424,0.8695283162250859,3,fourth
77,0,1,1,-1.0,1.0,0.0,1.0,8.0,0.0,8.0,-8.0,8.0,9.0,-1.0,-8.0,-7.0,-1.0,0.0,0.0,1.0,1.0,-3.1793315697737414,-2.8635663697946967,-1.1140666479269048,-1.9486750006441722,1.6671771056450013,3,fourth
78,2,1,1,1.0,1.0,2.0,-1.0,4.0,8.0,4.0,4.0,6.0,5.0,1.0,-2.0,-3.0,1.0,0.0,1.0,1.0,1.0,-2.761070008587651,-0.40365267581226155,-0.20174269751619434,-2.334978165505761,-0.6062232486211846,1,seconds
79,5,6,1,-1.0,6.0,5.0,1.0,7.0,35.0,42.0,-7.0,12.0,13.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0,1.0,1.0,-2.1601888422213364,-2.2073319688894633,0.7623715761324527,2.2543813386992952,1.0503889851620278,3,fourth
80,3,6,1,-3.0,6.0,3.0,3.0,9.0,27.0,54.0,-27.0,12.0,15.0,-3.0,-6.0,-3.0,-3.0,0.0,0.0,1.0,1.0,-2.4033510669206577,-3.8140916762418176,-0.21803018105812388,2.291476728411542,1.20292082549441,3,fourth
81,3,1,1,2.0,1.0,3.0,-2.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,-3.1161667401261566,1.3377769848174097,-0.20827338989710997,-2.3892391493198013,-0.8277895981619321,1,seconds
82,7,3,1,4.0,3.0,7.0,-4.0,8.0,56.0,24.0,32.0,15.0,11.0,4.0,-1.0,-5.0,4.0,0.0,1.0,1.0,1.0,-0.6053755386623388,-1.7023891059469205,3.407757920209042,0.1123227363733042,-0.3492391820024704,1,seconds
83,6,2,1,4.0,2.0,6.0,-4.0,7.0,42.0,14.0,28.0,13.0,9.0,4.0,-1.0,-5.0,4.0,0.0,1.0,1.0,1.0,-1.1021994001805955,-1.1695155034935307,2.7262113803756485,-0.8572672169137286,-0.3278189193479484,1,seconds
84,0,5,1,-5.0,5.0,0.0,5.0,7.0,0.0,35.0,-35.0,7.0,12.0,-5.0,-7.0,-2.0,-5.0,0.0,0.0,1.0,1.0,-3.577828502643938,-3.1250229545425627,-2.293547603533066,0.8113300215972807,1.0174106831492689,3,fourth
85,8,4,1,4.0,4.0,8.0,-4.0,6.0,48.0,24.0,24.0,14.0,10.0,4.0,2.0,-2.0,4.0,0.0,1.0,1.0,1.0,-0.9170890651199115,-0.4972118006693051,3.2338436139415228,0.7038354879685982,-0.6160559637894166,1,seconds
86,7,3,1,4.0,3.0,7.0,-4.0,4.0,28.0,12.0,16.0,11.0,7.0,4.0,3.0,-1.0,4.0,0.0,1.0,1.0,1.0,-1.6643553749797548,0.5792555945131722,2.2896592549518417,-0.3601380272084267,-0.6761047755720602,1,seconds
87,4,1,1,3.0,1.0,4.0,-3.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,1.0,3.0,0.0,0.0,1.0,1.0,-3.6551587455124883,2.0350466313513804,-0.15718552945747766,-1.8831112043621245,1.1057987094097474,1,seconds
88,9,1,1,8.0,1.0,9.0,-8.0,3.0,27.0,3.0,24.0,12.0,4.0,8.0,6.0,-2.0,8.0,0.0,1.0,1.0,1.0,-1.3969193845285441,1.894541570996383,3.6364274739309774,-1.452043428997183,-0.34982848991647403,1,seconds
89,6,4,1,2.0,4.0,6.0,-2.0,9.0,54.0,36.0,18.0,15.0,13.0,2.0,-3.0,-5.0,2.0,0.0,1.0,1.0,1.0,-0.7486375570297633,-2.6903902814710463,2.7064656385155246,0.8205201020999948,-0.4223158264632151,1,seconds
90,7,2,1,5.0,2.0,7.0,-5.0,9.0,63.0,18.0,45.0,16.0,11.0,5.0,-2.0,-7.0,5.0,0.0,1.0,1.0,1.0,-0.26696905281681477,-2.0559566848022732,3.9597932766096915,-0.5140721703481325,-0.1388052556152738,1,seconds
91,5,5,1,0.0,5.0,5.0,0.0,1.0,5.0,5.0,0.0,6.0,6.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,-2.27984999075239,1.7717100975424818,-0.47612913076664215,0.053827272460959585,-1.126621609200768,1,seconds
92,8,0,1,8.0,0.0,8.0,-8.0,5.0,40.0,0.0,40.0,13.0,5.0,8.0,3.0,-5.0,8.0,0.0,1.0,1.0,1.0,-0.9762923455455395,0.692648616482838,3.939008964263911,-2.088615931176768,-0.11556658362152929,1,seconds
93,6,3,1,3.0,3.0,6.0,-3.0,5.0,30.0,15.0,15.0,11.0,8.0,3.0,1.0,-2.0,3.0,0.0,1.0,1.0,1.0,-1.6580453442116416,-0.23048588294815167,1.9505415261144001,-0.38338319088259,-0.6363703438511589,1,seconds
94,4,1,1,3.0,1.0,4.0,-3.0,1.0,4.0,1.0,3.0,5.0,2.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,-2.933642334184283,1.6156911853605784,0.32070514248490434,-2.2609463629662203,-0.7699011796772827,1,seconds
95,8,7,1,1.0,7.0,8.0,-1.0,1.0,8.0,7.0,1.0,9.0,8.0,1.0,7.0,6.0,1.0,0.0,1.0,1.0,1.0,-2.421108117994249,2.250513986137722,1.0669528211469437,1.7369779944803625,-1.5134016453164383,1,seconds
96,1,9,1,-8.0,9.0,1.0,8.0,3.0,3.0,27.0,-24.0,4.0,12.0,-8.0,-2.0,6.0,-8.0,0.0,0.0,1.0,1.0,-4.0299972869675305,-1.1727326242795018,-3.1232997328793055,2.8883376140107524,-0.02090097358615519,3,fourth
97,3,1,1,2.0,1.0,3.0,-2.0,3.0,9.0,3.0,6.0,6.0,4.0,2.0,0.0,-2.0,2.0,0.0,1.0,1.0,1.0,-2.719797387287887,0.34280806232797423,0.19356469132970747,-2.261002851766713,-0.6494396453849107,1,seconds
