,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
1556,"('MR2_checker == No-violated', 'MR2_input_b == 12.0', 'input_a == 9')",3,"('MR2_input_a == 54.0',)",1,1.0,0.01,10.0,900000000.0
1557,"('MR2_input_b == 6.0', 'input_a == 9', 'input_b == 1')",3,"('MR2_input_a == 54.0',)",1,1.0,0.01,10.0,900000000.0
1558,"('MR2_input_a == 54.0', 'input_a == 9', 'input_b == 1')",3,"('MR2_input_b == 6.0',)",1,1.0,0.01,10.0,900000000.0
1559,"('MR2_input_a == 54.0', 'MR2_input_b == 6.0', 'input_b == 1')",3,"('input_a == 9',)",1,1.0,0.01,10.0,900000000.0
1560,"('MR2_input_a == 54.0', 'MR2_input_b == 6.0', 'input_a == 9')",3,"('input_b == 1',)",1,1.0,0.01,10.0,900000000.0
1561,"('input_a == 9', 'input_b == 1')",2,"('MR2_input_a == 54.0', 'MR2_input_b == 6.0')",2,1.0,0.01,100.0,989999999.9999999
1562,"('MR2_checker == No-violated', 'MR2_input_a == 54.0', 'MR2_input_b == 12.0')",3,"('input_a == 9',)",1,1.0,0.01,10.0,900000000.0
1563,"('MR2_input_a == 36.0', 'input_b == 7')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1564,"('MR2_input_b == 12.0', 'input_a == 9')",2,"('MR2_checker == No-violated', 'MR2_input_a == 54.0')",2,1.0,0.01,10.0,900000000.0
1565,"('MR2_input_b == 6.0', 'input_a == 9')",2,"('MR2_input_a == 54.0', 'input_b == 1')",2,1.0,0.01,100.0,989999999.9999999
1566,"('MR2_input_a == 54.0', 'input_b == 1')",2,"('MR2_input_b == 6.0', 'input_a == 9')",2,1.0,0.01,100.0,989999999.9999999
1567,"('MR2_checker == No-violated', 'input_a == 8', 'input_b == 6')",3,"('MR2_input_a == 48.0',)",1,1.0,0.01,10.0,900000000.0
1568,"('MR2_checker == No-violated', 'MR2_input_a == 48.0', 'input_b == 6')",3,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
1569,"('input_b == 4',)",1,"('MR2_input_b == 24.0',)",1,1.0,0.1,10.0,900000000.0
1570,"('MR2_input_b == 24.0',)",1,"('input_b == 4',)",1,1.0,0.1,10.0,900000000.0
1571,"('MR2_input_a == 42.0', 'MR2_input_b == 24.0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1572,"('MR2_input_a == 6.0', 'MR2_input_b == 6.0', 'input_a == 1')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1573,"('MR2_checker == No-violated', 'MR2_input_b == 6.0', 'input_a == 1')",3,"('MR2_input_a == 6.0',)",1,1.0,0.01,10.0,900000000.0
1574,"('MR2_checker == No-violated', 'MR2_input_a == 6.0', 'MR2_input_b == 6.0')",3,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
1575,"('MR2_input_b == 6.0', 'input_a == 1')",2,"('MR2_checker == No-violated', 'MR2_input_a == 6.0')",2,1.0,0.01,10.0,900000000.0
1576,"('MR2_input_a == 6.0', 'MR2_input_b == 6.0')",2,"('MR2_checker == No-violated', 'input_a == 1')",2,1.0,0.01,10.0,900000000.0
1577,"('MR2_input_a == 0.0', 'MR2_input_b == 18.0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
