,id,input_a,input_b,output_add,output_sub,output_add_MR1,output_sub_MR1,output_add_MR2,output_sub_MR2,output_add_MR3,output_sub_MR3,output_add_MR4,output_sub_MR4,MR1_checker_add,MR2_checker_add,MR3_checker_add,MR4_checker_add,MR1_checker_sub,MR2_checker_sub,MR3_checker_sub,MR4_checker_sub
135,TiNMhUNyFsrtGLvubx8fZL,0,6,6,-6,6,6,18,-18,12,-6,0,-6,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
136,kTETuurkx3Hi8mJssuqAuz,0,6,6,-6,6,6,18,-18,12,-6,0,-6,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
137,j2RuyKSABGTM3VuSWQtbVP,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
138,QmVqL4d797wrEKtA9V7BKu,5,0,5,5,5,-5,15,15,11,5,-1,5,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
139,ALD3WaUGsTBAU7CzY55LJU,3,5,8,-2,8,2,24,-6,14,-2,2,-2,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
140,8p5vK7fV6vXBntcDXcmpqt,3,5,8,-2,8,2,24,-6,14,-2,2,-2,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
141,mZDnP57RN9mfuwm7oqwJCV,3,5,8,-2,8,2,24,-6,14,-2,2,-2,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
142,kXa6ToggMmS7XHv8e9rmCx,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
143,ezFXd5N8qnFXzDFjQGscWC,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
144,Gwny4j6VfYDtUW5oZEBwNj,0,2,2,-2,2,2,6,-6,8,-2,-4,-2,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
145,iRDvFqGY4WY9SWNPMJVrFg,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
146,SXhCGrB2AmPooBmFqWkGyz,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
147,2b77n4JYJGW7ViJ6ioWCEB,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
148,CkfsCvjZdDtEJsMwz6sJiA,4,0,4,4,4,-4,12,12,10,4,-2,4,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
149,NfbwX588gzn6LSVE5wg3Dc,1,0,1,1,1,-1,3,3,7,1,-5,1,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
150,kouWSVu8gLYchRjKwpjC4F,0,1,1,-1,1,1,3,-3,7,-1,-5,-1,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
151,M8cNe6GYGmfiqFYw9Ch5om,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
152,TQKsXPUAarFNwxpUF8tv2G,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
