,"(a,b)",input_a,input_b,operand,const,output,MR4_input_a,MR4_input_b,MR4_inputs,MR4_output,MR4_checker
142,"(5,8)",5,8,sub,6,-3.0,-1.0,2.0,"(-1,2)",-3.0,No-violated
143,"(5,8)",5,8,sum,6,13.0,-1.0,2.0,"(-1,2)",1.0,Violated
144,"(0,6)",0,6,sub,6,-6.0,-6.0,0.0,"(-6,0)",-6.0,No-violated
145,"(0,6)",0,6,sum,6,6.0,-6.0,0.0,"(-6,0)",-6.0,Violated
146,"(1,0)",1,0,sub,6,1.0,-5.0,-6.0,"(-5,-6)",1.0,No-violated
147,"(1,0)",1,0,sum,6,1.0,-5.0,-6.0,"(-5,-6)",-11.0,Violated
148,"(2,2)",2,2,sub,6,0.0,-4.0,-4.0,"(-4,-4)",0.0,No-violated
149,"(2,2)",2,2,sum,6,4.0,-4.0,-4.0,"(-4,-4)",-8.0,Violated
150,"(3,7)",3,7,sub,6,-4.0,-3.0,1.0,"(-3,1)",-4.0,No-violated
151,"(3,7)",3,7,sum,6,10.0,-3.0,1.0,"(-3,1)",-2.0,Violated
152,"(1,7)",1,7,sub,6,-6.0,-5.0,1.0,"(-5,1)",-6.0,No-violated
153,"(1,7)",1,7,sum,6,8.0,-5.0,1.0,"(-5,1)",-4.0,Violated
154,"(9,9)",9,9,sub,6,0.0,3.0,3.0,"(3,3)",0.0,No-violated
155,"(9,9)",9,9,sum,6,18.0,3.0,3.0,"(3,3)",6.0,Violated
156,"(2,9)",2,9,sub,6,-7.0,-4.0,3.0,"(-4,3)",-7.0,No-violated
157,"(2,9)",2,9,sum,6,11.0,-4.0,3.0,"(-4,3)",-1.0,Violated
158,"(4,8)",4,8,sub,6,-4.0,-2.0,2.0,"(-2,2)",-4.0,No-violated
159,"(4,8)",4,8,sum,6,12.0,-2.0,2.0,"(-2,2)",0.0,Violated
160,"(5,4)",5,4,sub,6,1.0,-1.0,-2.0,"(-1,-2)",1.0,No-violated
161,"(5,4)",5,4,sum,6,9.0,-1.0,-2.0,"(-1,-2)",-3.0,Violated
162,"(2,6)",2,6,sub,6,-4.0,-4.0,0.0,"(-4,0)",-4.0,No-violated
163,"(2,6)",2,6,sum,6,8.0,-4.0,0.0,"(-4,0)",-4.0,Violated
164,"(1,6)",1,6,sub,6,-5.0,-5.0,0.0,"(-5,0)",-5.0,No-violated
165,"(1,6)",1,6,sum,6,7.0,-5.0,0.0,"(-5,0)",-5.0,Violated
166,"(6,2)",6,2,sub,6,4.0,0.0,-4.0,"(0,-4)",4.0,No-violated
167,"(6,2)",6,2,sum,6,8.0,0.0,-4.0,"(0,-4)",-4.0,Violated
168,"(4,1)",4,1,sub,6,3.0,-2.0,-5.0,"(-2,-5)",3.0,No-violated
169,"(4,1)",4,1,sum,6,5.0,-2.0,-5.0,"(-2,-5)",-7.0,Violated
170,"(2,7)",2,7,sub,6,-5.0,-4.0,1.0,"(-4,1)",-5.0,No-violated
171,"(2,7)",2,7,sum,6,9.0,-4.0,1.0,"(-4,1)",-3.0,Violated
172,"(6,5)",6,5,sub,6,1.0,0.0,-1.0,"(0,-1)",1.0,No-violated
173,"(6,5)",6,5,sum,6,11.0,0.0,-1.0,"(0,-1)",-1.0,Violated
174,"(9,4)",9,4,sub,6,5.0,3.0,-2.0,"(3,-2)",5.0,No-violated
175,"(9,4)",9,4,sum,6,13.0,3.0,-2.0,"(3,-2)",1.0,Violated
176,"(8,1)",8,1,sub,6,7.0,2.0,-5.0,"(2,-5)",7.0,No-violated
177,"(8,1)",8,1,sum,6,9.0,2.0,-5.0,"(2,-5)",-3.0,Violated
178,"(9,4)",9,4,sub,6,5.0,3.0,-2.0,"(3,-2)",5.0,No-violated
179,"(9,4)",9,4,sum,6,13.0,3.0,-2.0,"(3,-2)",1.0,Violated
180,"(4,0)",4,0,sub,6,4.0,-2.0,-6.0,"(-2,-6)",4.0,No-violated
181,"(4,0)",4,0,sum,6,4.0,-2.0,-6.0,"(-2,-6)",-8.0,Violated
182,"(4,3)",4,3,sub,6,1.0,-2.0,-3.0,"(-2,-3)",1.0,No-violated
183,"(4,3)",4,3,sum,6,7.0,-2.0,-3.0,"(-2,-3)",-5.0,Violated
184,"(5,1)",5,1,sub,6,4.0,-1.0,-5.0,"(-1,-5)",4.0,No-violated
185,"(5,1)",5,1,sum,6,6.0,-1.0,-5.0,"(-1,-5)",-6.0,Violated
186,"(3,5)",3,5,sub,6,-2.0,-3.0,-1.0,"(-3,-1)",-2.0,No-violated
187,"(3,5)",3,5,sum,6,8.0,-3.0,-1.0,"(-3,-1)",-4.0,Violated
188,"(2,5)",2,5,sub,6,-3.0,-4.0,-1.0,"(-4,-1)",-3.0,No-violated
189,"(2,5)",2,5,sum,6,7.0,-4.0,-1.0,"(-4,-1)",-5.0,Violated
190,"(2,7)",2,7,sub,6,-5.0,-4.0,1.0,"(-4,1)",-5.0,No-violated
191,"(2,7)",2,7,sum,6,9.0,-4.0,1.0,"(-4,1)",-3.0,Violated
192,"(2,3)",2,3,sub,6,-1.0,-4.0,-3.0,"(-4,-3)",-1.0,No-violated
193,"(2,3)",2,3,sum,6,5.0,-4.0,-3.0,"(-4,-3)",-7.0,Violated
194,"(1,3)",1,3,sub,6,-2.0,-5.0,-3.0,"(-5,-3)",-2.0,No-violated
195,"(1,3)",1,3,sum,6,4.0,-5.0,-3.0,"(-5,-3)",-8.0,Violated
196,"(0,6)",0,6,sub,6,-6.0,-6.0,0.0,"(-6,0)",-6.0,No-violated
197,"(0,6)",0,6,sum,6,6.0,-6.0,0.0,"(-6,0)",-6.0,Violated
198,"(1,8)",1,8,sub,6,-7.0,-5.0,2.0,"(-5,2)",-7.0,No-violated
199,"(1,8)",1,8,sum,6,9.0,-5.0,2.0,"(-5,2)",-3.0,Violated
